,Predictions,Test values
7622,942074.6,975000.0
10905,1031283.56,850000.0
8946,1380110.1,1570000.0
6600,457159.6,470000.0
31086,792580.94,1175000.0
7885,1043985.5,1250000.0
20061,813438.9,588000.0
8489,696936.1,700000.0
13237,759577.94,651500.0
30554,3007194.2,2940000.0
26978,864882.25,986000.0
4372,418541.75,350000.0
5631,1529303.5,1420000.0
20426,2265267.0,3100000.0
9940,629276.06,605000.0
12766,722112.1,599000.0
521,418026.72,450000.0
28323,2041513.9,1710000.0
595,945567.44,970000.0
27290,1290136.6,1265000.0
16210,594605.25,592000.0
570,1271240.9,1345000.0
30261,684699.2,541000.0
5081,684491.06,750000.0
28696,638437.0,390000.0
31265,1365262.2,1450000.0
25391,1267130.8,1221000.0
10412,644398.7,838000.0
7767,1010773.4,937000.0
23486,1473286.9,1868000.0
10701,1111918.5,1310000.0
2209,772042.94,940000.0
4063,1112103.5,1470000.0
18338,1285989.6,1204000.0
2645,623600.94,615000.0
30400,1487802.5,1350000.0
8873,1273280.6,931000.0
7745,683653.75,440000.0
9858,555798.4,480000.0
3738,961646.25,1060000.0
31182,557261.4,497000.0
22477,669227.44,445000.0
4767,446407.97,430000.0
17360,521356.66,745000.0
15783,613122.9,670000.0
13576,940175.9,1005000.0
7458,750701.75,592000.0
24495,866015.3,990000.0
24626,636439.56,650000.0
8547,624863.9,510000.0
31344,1051591.2,917000.0
15450,720434.1,616000.0
13804,626119.5,925000.0
1806,1035667.0,960000.0
645,1040962.9,968000.0
6723,430677.8,436000.0
12075,576535.44,600000.0
23474,746079.6,640000.0
19484,789008.44,629500.0
28659,746704.9,690000.0
31118,981810.3,1020000.0
22150,2031253.0,2550000.0
21563,1923627.2,1810000.0
25085,746381.9,485000.0
10745,292650.1,355000.0
30369,1017713.25,1200000.0
2700,2721335.5,1800000.0
4639,1523202.1,1350000.0
4931,760468.9,660000.0
3235,1244016.9,1620000.0
24139,1236490.1,1561000.0
10861,1082043.4,960000.0
5648,578716.2,365000.0
3432,1008706.94,835000.0
7768,445507.03,360000.0
8690,751633.6,633000.0
17094,634225.2,600000.0
16030,1181001.2,855000.0
4206,1965699.9,1780000.0
10890,1567000.8,1870000.0
25220,487683.06,592500.0
12795,621181.0,603000.0
29668,2814320.0,2830000.0
17319,591757.8,940000.0
19543,804599.9,1210000.0
28315,1039458.75,920000.0
21818,705107.75,740000.0
17140,843978.25,655000.0
24643,556313.44,480000.0
23495,616236.06,550000.0
3670,1326106.1,1462500.0
5874,630608.4,630000.0
22592,611078.9,685000.0
6932,348591.66,292000.0
8925,1558838.9,1651000.0
27082,564449.4,468000.0
8117,911084.3,1100000.0
9071,1145806.1,937500.0
29353,2548476.8,3825000.0
11060,625738.6,570000.0
21244,1662021.4,2550000.0
15340,833071.1,1010000.0
27946,1391105.9,1156000.0
18361,524962.75,455000.0
21832,1330814.6,1200000.0
21164,742969.2,770000.0
18618,1017321.5,1045000.0
18138,454927.9,345000.0
2541,1541296.2,1381000.0
26563,693660.0,575000.0
22291,653230.75,522000.0
13923,893839.0,935000.0
18022,511204.3,441000.0
16995,1731000.8,2905000.0
7920,1387603.6,1180000.0
30040,1318746.8,1513000.0
3848,764162.8,825000.0
15996,662653.94,756000.0
14332,912113.2,810000.0
3569,1161373.5,670000.0
29776,1076514.2,1000000.0
10284,1157281.4,1265000.0
23077,582722.3,413500.0
10560,1105518.9,1085000.0
5533,965192.5,677500.0
13891,933096.4,935000.0
11846,534958.5,600000.0
14530,464206.94,466500.0
1425,1332155.6,1206000.0
6951,375772.84,336000.0
6833,1688086.8,1780000.0
3522,765833.2,650000.0
24906,2394157.0,2451000.0
23498,317234.3,428000.0
24404,1153865.8,1088000.0
24752,1360249.5,1350000.0
17901,632176.3,730000.0
27645,871607.1,946000.0
18852,1417586.8,1640000.0
22243,1307289.4,1475000.0
12911,1347560.4,1910000.0
19493,628485.56,840000.0
28419,822607.2,666000.0
31007,662172.2,592000.0
11710,1735255.9,1845000.0
6623,944004.2,907000.0
24566,732641.2,490000.0
13367,1561313.8,1615000.0
4115,518958.3,630000.0
1552,1221611.8,1400000.0
31290,1007368.0,970000.0
21751,997772.6,1000000.0
18046,590195.2,575000.0
71,674442.2,700000.0
16507,771158.8,670000.0
5860,1162227.1,829000.0
20134,835217.1,755000.0
13838,1276230.2,1635000.0
1784,1194067.5,1067000.0
28000,1246585.4,1648000.0
26559,727140.3,885000.0
3828,1232709.9,1395000.0
13825,895138.6,975000.0
28582,682332.6,741000.0
48,411544.2,426000.0
23612,696884.25,710000.0
9868,642099.4,345000.0
13333,1700219.2,1750000.0
85,495359.47,530000.0
23491,1283505.9,1190000.0
3085,654435.44,535000.0
16673,2013251.1,2050000.0
27557,1475603.9,1060000.0
10801,616507.9,518000.0
29082,870158.7,738000.0
25873,1366399.2,1340000.0
15898,998110.56,1050000.0
15191,1125471.6,1245000.0
19796,1217767.2,1140000.0
31072,826871.56,813000.0
25761,1355180.0,1302000.0
24667,541649.94,565000.0
11188,636843.0,565000.0
26624,575473.8,580000.0
18879,720576.8,800000.0
10340,1299367.6,1250000.0
29582,828515.9,760000.0
27322,675593.25,652000.0
30806,713945.44,630000.0
7749,750927.6,700000.0
11366,1697108.1,1460000.0
15886,1467422.4,1388000.0
7079,932176.5,762000.0
27759,606994.44,645000.0
13531,900587.4,1055000.0
9019,1562842.1,1245000.0
27479,898071.44,950000.0
15707,745356.56,655000.0
166,1938471.2,3010000.0
3398,723446.2,599000.0
7907,2815784.8,2252000.0
30639,1207913.0,1250000.0
12917,2134734.8,2500000.0
30563,1434001.5,1620000.0
5171,1243012.0,1300000.0
15229,1144795.9,1210000.0
25849,433885.6,400000.0
22994,1800858.0,1650000.0
30153,703660.4,743000.0
22521,783652.56,680000.0
18172,1239499.4,2025000.0
15836,1051281.5,1300000.0
30361,1264519.2,1300000.0
25674,960469.9,894000.0
22768,589322.3,617000.0
13678,676208.56,615000.0
8430,478207.8,520000.0
16009,1104566.6,1050000.0
4197,1411648.5,1145000.0
19404,1625891.6,1655000.0
17646,896695.7,940000.0
8316,894525.56,805000.0
3703,1203037.9,1100000.0
1600,1540643.0,1305000.0
20412,1207522.6,758000.0
1409,972179.5,800000.0
19170,1433108.1,1180000.0
3645,588034.56,480000.0
12079,434672.47,393000.0
5886,1244543.8,1185000.0
19382,639334.2,620000.0
18280,1793876.2,2255000.0
2276,1182436.0,880000.0
2603,1153315.8,1165000.0
19918,1329221.5,1175000.0
7024,806509.4,800000.0
11553,521968.03,480000.0
6839,1292893.6,1225000.0
10664,1022388.9,1460000.0
14837,741701.25,780000.0
11925,979765.8,790000.0
